Document_ID,Source_ID,Relationship_Type,Target_ID,Weight,Dependency
BI_Lecture_4,BI_SYSTEM_concept:data_task,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,4,3
BI_Lecture_4,BI_SYSTEM_concept:business_and_data_understanding_task,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,4,3
BI_Lecture_4,BI_SYSTEM_concept:modeling_task,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,4,3
BI_Lecture_4,BI_SYSTEM_concept:analysis_task,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,4,3
BI_Lecture_4,BI_SYSTEM_concept:evaluation_and_reporting_task,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,4,3
BI_Lecture_4,BI_SYSTEM_concept:imine_method,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:business_intelligence_systems,3,2
BI_Lecture_4,BI_SYSTEM_concept:visualizing_amounts,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_proportions,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_distributions,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_associations,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_time_series,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_trends,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_geospatial_data,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:visualizing_uncertainty,IS_SUBCONCEPT_OF,BI_SYSTEM_concept:fundamental_of_visualization,4,3
BI_Lecture_4,BI_SYSTEM_concept:data_task,NEXT,BI_SYSTEM_concept:business_and_data_understanding_task,3,2
BI_Lecture_4,BI_SYSTEM_concept:business_and_data_understanding_task,NEXT,BI_SYSTEM_concept:modeling_task,3,2
BI_Lecture_4,BI_SYSTEM_concept:modeling_task,NEXT,BI_SYSTEM_concept:analysis_task,3,2
BI_Lecture_4,BI_SYSTEM_concept:analysis_task,NEXT,BI_SYSTEM_concept:evaluation_and_reporting_task,3,2
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:data_warehouse,REQUIRES,BI_TECHNOLOGY_EVOLUTION_concept:database_systems,5,5
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:etl,REQUIRES,BI_TECHNOLOGY_EVOLUTION_concept:data_integration,4,4
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:olap,REQUIRES,BI_TECHNOLOGY_EVOLUTION_concept:data_warehouse,3,3
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:scd,REQUIRES,BI_TECHNOLOGY_EVOLUTION_concept:dimension_modeling,4,4
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:etl,NEXT,BI_TECHNOLOGY_EVOLUTION_concept:olap,2,1
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:data_warehouse,SIMILAR_TO,BI_TECHNOLOGY_EVOLUTION_concept:operational_data_store,2,1
BI_Lecture_5,BI_TECHNOLOGY_EVOLUTION_concept:scd,IS_SUBCONCEPT_OF,BI_TECHNOLOGY_EVOLUTION_concept:data_warehouse,3,2
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_topic:data_mining,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_topic:business_intelligence,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_topic:data_mining,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:clustering,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_topic:data_mining,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_topic:data_mining,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:decision_trees,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:bayes_classification,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:evaluation_metrics,NEXT,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,3,2
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_resource:company_churn_demo,SIMILAR_TO,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,3,2
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:k_means,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:clustering,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:hierarchical_clustering,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:clustering,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:density_based_clustering,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:clustering,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:dbscan,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:density_based_clustering,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:support,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:confidence,IS_SUBCONCEPT_OF,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,4,3
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:confidence,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:support,5,5
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_resource:basket_analysis_demo,SIMILAR_TO,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,3,2
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_resource:sales_and_marketing_expenses_demo,SIMILAR_TO,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,3,2
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:classification,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:data_preprocessing,5,5
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:clustering,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:data_preprocessing,5,5
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:association_rules,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:data_preprocessing,5,5
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:bayes_classification,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:probability,5,5
Doc_001,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:probability,REQUIRES,CLASSIFICATION___CLUSTERING___ASSOCIATION_TECHNIQUES_concept:data_preprocessing,5,5
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:mean,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:median,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:mode,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:midrange,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:range,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:quartiles,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:interquartile_range,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:variance,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:standard_deviation,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:bar_chart,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:pie_chart,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:line_chart,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:histogram,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:scatter_plot,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:data_cleaning,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:data_integration,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:data_reduction,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:data_transformation,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:skewed_data,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:skewed_data_normalization,IS_SUBCONCEPT_OF,DATA_PRE_PROCESSING_topic:data_preprocessing,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:mean,NEXT,DATA_PRE_PROCESSING_concept:median,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:median,NEXT,DATA_PRE_PROCESSING_concept:mode,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:mode,NEXT,DATA_PRE_PROCESSING_concept:midrange,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:midrange,NEXT,DATA_PRE_PROCESSING_concept:range,3,2
Data_Preprocessing_Lecture,DATA_PRE_PROCESSING_concept:range,NEXT,DATA_PRE_PROCESSING_concept:quartiles,3,2
