"Document_ID","Source_Node_ID","Relationship_Type","Target_Node_ID","Weight","Dependency"
"doc1","concept:inner_join","IS_SUBCONCEPT_OF","concept:joins","4","3"
"doc1","concept:left_outer_join","IS_SUBCONCEPT_OF","concept:joins","4","3"
"doc1","concept:right_outer_join","IS_SUBCONCEPT_OF","concept:joins","4","3"
"doc1","concept:full_outer_join","IS_SUBCONCEPT_OF","concept:joins","4","3"
"doc1","concept:cross_join","IS_SUBCONCEPT_OF","concept:joins","4","3"
"doc1","concept:subqueries","REQUIRES","concept:select_statement","5","5"
"doc1","concept:cte","REQUIRES","concept:subqueries","4","4"
"doc1","concept:joins","NEXT","concept:subqueries","3","2"
"doc1","concept:subqueries","NEXT","concept:cte","3","2"
"doc1","concept:cte","NEXT","concept:indices","3","2"
