StudentID,NodeID,Score,TimeSpent
stu001,concept:mean,85,25
stu001,concept:boxplots,75,30
stu002,concept:quartiles,80,20
stu002,concept:interquartile_range,90,25
stu003,concept:data_visualization,70,30
stu003,concept:bar_charts,85,20
stu004,concept:classification,90,35
stu004,concept:decision_trees,80,30
stu001,concept:aggregate_functions,20,30
stu001,concept:aggregate_functions,30,30
stu001,concept:aggregate_functions,30,30
stu001,concept:aggregate_functions,80,30
stu001,concept:grouping,100,30
stu001,concept:aggregate_functions,67,30
stu001,concept:aggregate_functions,60,30
stu001,concept:aggregate_functions,100,30
stu001,concept:having_clause,71,30
stu001,topic:data_mining,84,30
stu001,topic:data_mining,95,30
stu001,topic:business_intelligence,100,30
stu001,topic:data_mining,95,30
stu001,topic:business_intelligence,5,30
stu001,topic:business_intelligence,100,30
stu001,topic:data_mining,94,30
stu001,topic:business_intelligence,100,30
