Question_Number,type,correct,explanation,options
1,multiple_choice,0,Stored procedures are named sequences of T-SQL statements that encapsulate repetitive program logic.,"Named sequences of T-SQL statements,Temporary tables in SQL,Indexes in SQL,Views in SQL"
2,multiple_choice,0,The main purpose of stored procedures is to encapsulate repetitive program logic for reuse.,"To encapsulate repetitive program logic,To store data temporarily,To create indexes,To create views"
3,multiple_choice,0,You create a stored procedure in SQL using the CREATE PROCEDURE statement.,"Using CREATE PROCEDURE statement,Using SELECT statement,Using INSERT statement,Using UPDATE statement"
4,multiple_choice,0,Stored procedures encapsulate repetitive program logic for reuse.,"Repetitive program logic,Data manipulation logic,User interface logic,Networking logic"
5,multiple_choice,0,Stored procedures are used in database programming to improve code reusability by encapsulating repetitive logic.,"To improve code reusability,To create temporary tables,To optimize indexes,To design views"
6,multiple_choice,0,One of the benefits of using stored procedures for repetitive tasks is code reusability.,"Code reusability,Faster query performance,Data encryption,Improved data storage"
7,multiple_choice,0,Stored procedures help in maintaining consistency by encapsulating logic in a single place for reuse.,"By encapsulating logic in a single place,By creating temporary tables,By optimizing indexes,By designing views"
8,multiple_choice,0,An example of a task that can be encapsulated in a stored procedure is selecting employees by seniority.,"Selecting employees by seniority,Creating temporary tables,Optimizing indexes,Designing views"
9,multiple_choice,0,Stored procedures can improve the performance of database applications by reducing network traffic through encapsulating logic.,"By reducing network traffic,By increasing data storage,By improving user interface design,By optimizing query performance"
10,multiple_choice,0,The process of creating a stored procedure is called procedure definition.,"Procedure definition,Function declaration,Query execution,Index optimization"
11,multiple_choice,0,Managing stored procedures in database programming ensures code reusability and maintenance.,"To ensure code reusability,To create temporary tables,To optimize indexes,To design views"
12,multiple_choice,0,Stored procedures can enhance security in database applications by controlling access to data through encapsulating logic.,"By controlling access to data,By increasing data storage,By improving user interface design,By optimizing query performance"
13,multiple_choice,0,Stored procedures play a role in data integrity by ensuring consistency and accuracy of data through encapsulating logic.,"Ensuring consistency and accuracy of data,Creating temporary tables,Optimizing indexes,Designing views"
14,multiple_choice,1,Stored procedures can contribute to scalability in database applications by improving query performance through encapsulating logic.,"By reducing network traffic,By improving query performance,By increasing data storage,By optimizing user interface design"
15,multiple_choice,0,Parameterized stored procedures in database programming allow flexibility and reusability by accepting input parameters.,"Allowing flexibility and reusability,Creating temporary tables,Optimizing indexes,Designing views"
16,multiple_choice,0,Stored procedures aid in code maintenance and debugging by encapsulating logic in a single place for easier management.,"By encapsulating logic in a single place,By creating temporary tables,By optimizing indexes,By designing views"
17,multiple_choice,0,Stored procedures can impact database performance tuning by improving query performance through encapsulating logic.,"Improving query performance,Increasing data storage,Enhancing user interface design,Optimizing network traffic"
18,multiple_choice,0,Stored procedures can facilitate data consistency by enforcing business rules through encapsulating logic.,"By enforcing business rules,By creating temporary tables,By optimizing indexes,By designing views"
19,multiple_choice,0,Stored procedures play a role in database transactions by ensuring data integrity through encapsulating logic.,"Ensuring data integrity,Creating temporary tables,Optimizing indexes,Designing views"
20,multiple_choice,0,Stored procedures can improve the maintainability of database applications by encapsulating logic in a single place for easier management.,"By encapsulating logic in a single place,By increasing data storage,By improving user interface design,By optimizing query performance"
21,multiple_choice,0,Stored procedures can have a relationship with database performance optimization by optimizing query performance through encapsulating logic.,"Stored procedures can optimize query performance,Stored procedures can increase data storage,Stored procedures can enhance user interface design,Stored procedures can optimize network traffic"
