Question_Number,Question_Text,Option_1,Option_2,Option_3,Option_4,Level,Student_Answer
1,What is the purpose of grouping in SQL?,To consolidate data into separate groups based on a common property,To delete data from a table,To update data in a table,To insert data into a table,basic,To consolidate data into separate groups based on a common property
2,Which SQL clause is used for grouping data?,GROUP BY,ORDER BY,WHERE,HAVING,basic,GROUP BY
3,What is an example of grouping in SQL?,Grouping employees by department to calculate total salaries per department,Deleting all records from a table,Updating a specific column in a table,Inserting new records into a table,basic,Grouping employees by department to calculate total salaries per department
4,How can you consolidate data in SQL based on a common property?,Using the GROUP BY clause,Using the DELETE statement,Using the UPDATE statement,Using the INSERT statement,basic,Using the GROUP BY clause
5,What does the GROUP BY clause do in SQL?,Consolidates data into separate groups based on a common property,Deletes all records from a table,Updates data in a table,Inserts new records into a table,intermediate,Consolidates data into separate groups based on a common property
6,Why would you use the GROUP BY clause in SQL?,To consolidate data into separate groups based on a common property,To delete all records from a table,To update data in a table,To insert new records into a table,intermediate,To consolidate data into separate groups based on a common property
7,"In SQL, what is the result of using the GROUP BY clause?",Data is grouped based on a common property,All data is deleted from a table,Data is updated in a table,New data is inserted into a table,intermediate,Data is grouped based on a common property
8,When would you use the GROUP BY clause in SQL?,To consolidate data into separate groups based on a common property,To delete all records from a table,To update data in a table,To insert new records into a table,intermediate,To consolidate data into separate groups based on a common property
9,What is a common use case for the GROUP BY clause in SQL?,Grouping employees by department to calculate total salaries per department,Deleting all records from a table,Updating a specific column in a table,Inserting new records into a table,intermediate,Grouping employees by department to calculate total salaries per department
10,How does the GROUP BY clause help in SQL?,By consolidating data into separate groups based on a common property,By deleting all records from a table,By updating data in a table,By inserting new records into a table,intermediate,By consolidating data into separate groups based on a common property
11,What is a more advanced concept related to grouping in SQL?,Using aggregate functions with GROUP BY,Deleting all records from a table,Updating data in a table,Inserting new records into a table,advanced,Using aggregate functions with GROUP BY
12,How can you enhance grouping in SQL with aggregate functions?,By using aggregate functions with GROUP BY,By deleting all records from a table,By updating data in a table,By inserting new records into a table,advanced,By using aggregate functions with GROUP BY
13,What additional functionality can be achieved by using aggregate functions with GROUP BY in SQL?,Performing calculations on grouped data,Deleting all records from a table,Updating data in a table,Inserting new records into a table,advanced,Performing calculations on grouped data
14,How do aggregate functions complement grouping in SQL?,By allowing calculations on grouped data,By deleting all records from a table,By updating data in a table,By inserting new records into a table,advanced,By allowing calculations on grouped data
15,What is a key benefit of using aggregate functions with GROUP BY in SQL?,Performing calculations on grouped data,Deleting all records from a table,Updating data in a table,Inserting new records into a table,advanced,Performing calculations on grouped data
16,How can you analyze data more effectively in SQL using grouping?,By using aggregate functions with GROUP BY,By deleting all records from a table,By updating data in a table,By inserting new records into a table,advanced,By using aggregate functions with GROUP BY
17,What is a practical application of using aggregate functions with GROUP BY in SQL?,Calculating total salaries per department by grouping employees,Deleting all records from a table,Updating data in a table,Inserting new records into a table,advanced,Calculating total salaries per department by grouping employees
18,How does using aggregate functions with GROUP BY enhance data analysis in SQL?,By allowing for more detailed calculations on grouped data,By deleting all records from a table,By updating data in a table,By inserting new records into a table,advanced,By allowing for more detailed calculations on grouped data
19,What is a key advantage of using aggregate functions with GROUP BY in SQL?,Enabling more advanced data analysis,Deleting all records from a table,Updating data in a table,Inserting new records into a table,advanced,Enabling more advanced data analysis
20,How can you gain deeper insights from data in SQL using grouping and aggregate functions?,By performing detailed calculations on grouped data,By deleting all records from a table,By updating data in a table,By inserting new records into a table,advanced,By performing detailed calculations on grouped data
