Question_Number,Question_Text,Option_1,Option_2,Option_3,Option_4,Level,Student_Answer
1,What does the HAVING clause in SQL do?,Filters groups based on conditions applied to aggregate functions,Filters rows based on conditions,Sorts the result set in ascending order,Joins multiple tables,basic,Filters groups based on conditions applied to aggregate functions
2,When is the HAVING clause used in a SQL query?,After the GROUP BY clause,Before the WHERE clause,After the ORDER BY clause,Before the SELECT clause,basic,After the GROUP BY clause
3,What is the purpose of using the HAVING clause?,To filter groups based on aggregate conditions,To filter individual rows based on conditions,To perform calculations on columns,To join tables,basic,To filter groups based on aggregate conditions
4,In which type of query is the HAVING clause commonly used?,Aggregate queries,Simple SELECT queries,UPDATE queries,DELETE queries,basic,Aggregate queries
5,What is the syntax for the HAVING clause in SQL?,HAVING condition,WHERE condition,GROUP BY condition,ORDER BY condition,intermediate,HAVING condition
6,Can the HAVING clause be used without the GROUP BY clause in SQL?,"No, it must be used with the GROUP BY clause","Yes, it can be used independently",It can only be used with the WHERE clause,It can only be used with the ORDER BY clause,intermediate,"No, it must be used with the GROUP BY clause"
7,What happens if the HAVING clause is placed before the GROUP BY clause in a SQL query?,It will result in a syntax error,It will filter individual rows instead of groups,It will have no effect on the query,It will change the order of the result set,intermediate,It will result in a syntax error
8,How is the HAVING clause different from the WHERE clause in SQL?,"HAVING is used with aggregate functions, WHERE is used with individual rows","HAVING is used for sorting, WHERE is used for filtering","HAVING is used for joins, WHERE is used for subqueries","HAVING is used for updates, WHERE is used for deletes",intermediate,"HAVING is used with aggregate functions, WHERE is used with individual rows"
9,What is the result of applying the HAVING clause to a query with no aggregate functions?,It will have no effect on the query,It will filter individual rows instead of groups,It will result in a syntax error,It will change the order of the result set,intermediate,It will have no effect on the query
10,How can the HAVING clause be used to filter groups based on aggregate conditions?,By specifying the condition after the GROUP BY clause,By specifying the condition after the WHERE clause,By specifying the condition after the ORDER BY clause,By specifying the condition after the SELECT clause,intermediate,By specifying the condition after the GROUP BY clause
11,What is the purpose of using the HAVING clause in a SQL query?,To filter groups based on aggregate conditions,To filter individual rows based on conditions,To perform calculations on columns,To join tables,advanced,To filter groups based on aggregate conditions
12,How does the HAVING clause differ from the WHERE clause in SQL?,"HAVING is used with aggregate functions, WHERE is used with individual rows","HAVING is used for sorting, WHERE is used for filtering","HAVING is used for joins, WHERE is used for subqueries","HAVING is used for updates, WHERE is used for deletes",advanced,"HAVING is used with aggregate functions, WHERE is used with individual rows"
13,What is the difference between the HAVING clause and the WHERE clause in SQL?,"HAVING is used with aggregate functions, WHERE is used with individual rows","HAVING is used for sorting, WHERE is used for filtering","HAVING is used for joins, WHERE is used for subqueries","HAVING is used for updates, WHERE is used for deletes",advanced,"HAVING is used with aggregate functions, WHERE is used with individual rows"
14,When should the HAVING clause be used instead of the WHERE clause in SQL?,When filtering groups based on aggregate conditions,When filtering individual rows based on conditions,When performing calculations on columns,When joining tables,advanced,When filtering groups based on aggregate conditions
